'ProfileConnectivity.high_cut_11_7_6' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_10_5_5_3' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_10_8_5' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_10_7_6_5' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_9_6_5_5' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_9_7_6_6' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_10_6_6_5' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_10_7_6_6' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_9_7_5_5' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_9_8_4' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_11_6_5' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_9_7_6_5' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_12_8_5_4' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_10_8_6_3' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_9_6_6_4_4' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_10_7_5_4_4' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_11_5_4_4' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_10_6_6_3_3' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_10_7_6_4_4' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_9_7_6_4_4' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_9_8_3_3' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_11_7_4_4_4' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_12_8_3_3_3' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_11_6_3_3_3' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_9_6_6_5_4' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_10_5_4_4_4' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_10_6_6_4_4_4' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_9_7_5_4_4' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_11_7_5_3_3_3' depends on axioms: [propext, Classical.choice, Quot.sound]
'ProfileConnectivity.high_cut_9_6_6_5_3_3' depends on axioms: [propext, Classical.choice, Quot.sound]
