'RatioNormalization.collision_candidate' depends on axioms: [propext, Classical.choice, Quot.sound]
'RatioNormalization.normalized_available_of_missing' depends on axioms: [propext, Classical.choice, Quot.sound]
'RatioNormalization.normalized_insert_admissible' depends on axioms: [propext, Classical.choice, Quot.sound]
'RatioNormalization.normalized_quotCount' depends on axioms: [propext, Classical.choice, Quot.sound]
'RatioNormalization.properPoints_eq_image' depends on axioms: [propext, Classical.choice, Quot.sound]
'RatioNormalization.properPoints_card' depends on axioms: [propext, Classical.choice, Quot.sound]
'RatioNormalization.normalized_incomparable' depends on axioms: [propext, Classical.choice, Quot.sound]
'RatioNormalization.normalized_feasible' depends on axioms: [propext, Classical.choice, Quot.sound]
'RatioNormalization.quotient_interval' depends on axioms: [propext, Classical.choice, Quot.sound]
'RatioNormalization.normalized_card' depends on axioms: [propext, Classical.choice, Quot.sound]
'RatioNormalization.normalized_other_gt_one' depends on axioms: [propext, Classical.choice, Quot.sound]
